"Sample_Id","Classification","ARO_term","Counts","ARG_length","Percentage_Identity","Drug_Class","Resistance_Mechanism","AMR_Gene_Family","Percentage_Coverage","Normalized_counts","Family","Group"
"7600-SR-006","Pseudomonas aeruginosa","mexM",606,1158,98.96,"phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3051.86,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","mexQ",1963,3162,99.53,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3620.42,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","nalC",26,642,98.59,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,236.18,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","nalD",40,639,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,365.06,"Pseudomonadaceae","control"
"7600-SR-006","Pseudomonas aeruginosa","rsmA",6,186,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,188.12,"Pseudomonadaceae","control"
"7600-SR-006","Staphylococcus epidermidis","Staphylococcus aureus mupA conferring resistance to mupirocin",244,3075,99.61,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",100,462.75,"Staphylococcaceae","control"
"7600-SR-006","Staphylococcus epidermidis","dfrC",94,486,100,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",100,1127.96,"Staphylococcaceae","control"
"7600-SR-006","Staphylococcus epidermidis","mecR1",54,1656,100,"penam","antibiotic target replacement","methicillin resistant PBP2",94.19,190.17,"Staphylococcaceae","control"
"7600-SR-006","Staphylococcus epidermidis","mphC",82,900,98.66,"macrolide antibiotic","antibiotic inactivation","macrolide phosphotransferase (MPH)",100,531.34,"Staphylococcaceae","control"
"7600-SR-006","Staphylococcus epidermidis","msrA",110,1467,98.57,"macrolide antibiotic","antibiotic target protection","msr-type ABC-F protein",100,437.28,"Staphylococcaceae","control"
"7600-SR-006","Staphylococcus epidermidis","qacA",143,1545,99.81,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,539.77,"Staphylococcaceae","control"
"7600-SR-006","unclassified","Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin",9252,1074,98.04,"elfamycin antibiotic","antibiotic target alteration","elfamycin resistant EF-Tu",87.53,50237.93,"unclassified","control"
"7600-SR-006","unclassified","SHV-36",285,861,100,"carbapenem","antibiotic inactivation","SHV beta-lactamase",100,1930.38,"unclassified","control"
"7600-SR-006","unclassified","mgrA",21,444,94.56,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",100,275.83,"unclassified","control"
"7600-SR-012","Enterococcus faecalis","dfrE",2006,495,97.56,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",100,16636.21,"Enterococcaceae","control"
"7600-SR-012","Enterococcus faecalis","efrA",7275,1719,99.65,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",99.48,17373.43,"Enterococcaceae","control"
"7600-SR-012","Enterococcus faecalis","emeA",3640,1155,97.71,"disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",97.71,12937.43,"Enterococcaceae","control"
"7600-SR-012","Enterococcus faecalis","lsaA",5459,1497,99.6,"lincosamide antibiotic","antibiotic target protection","lsa-type ABC-F protein",100,14969.93,"Enterococcaceae","control"
"7600-SR-012","Enterococcus faecalis","tet(M)",8055,1920,98.9,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",100,17222.37,"Enterococcaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","APH(3')-IIb",2944,807,98.88,"aminoglycoside antibiotic","antibiotic inactivation","APH(3')",100,14975.9,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","ArmR",633,162,94.34,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,16040.48,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","FosA",1443,408,99.26,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",100,14518.93,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexA",4116,1152,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14667.34,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexB",11154,3141,99.62,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14577.78,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexC",4063,1065,98.87,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",91.47,15661.23,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexD",11046,3132,95.43,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14478.11,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexE",4033,1245,99.28,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13298.03,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexF",9699,3189,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12485.36,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexG",2359,447,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,21664.52,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexH",4275,1113,99.73,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,15767.74,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexI",10858,3090,99.9,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14425.14,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexJ",3672,1104,99.73,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13654.07,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexK",10876,3078,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14505.38,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexL",2190,639,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14069.28,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexR",1388,444,99.32,"macrolide antibiotic","antibiotic target alteration","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12833.2,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexS",3367,1020,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13551.01,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexT",3068,915,99.63,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",87.61,13764.58,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexV",3891,1131,99.2,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14123.01,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexW",10806,3057,99.8,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14511.03,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MexZ",1969,633,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12769.4,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MuxA",4230,1281,99.53,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13555.63,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MuxB",9829,3132,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12882.97,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","MuxC",9137,3111,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12056.8,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","OXA-488",3045,789,100,"carbapenem","antibiotic inactivation","OXA beta-lactamase",100,15843.05,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","OpmB",4490,1497,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12312.69,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","OpmD",5473,1464,99.38,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,15346.63,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","OpmH",5039,1449,100,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14275.93,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","OprJ",5032,1440,99.16,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14345.2,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","OprM",4286,1458,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12067.66,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","OprN",4461,1419,99.79,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12905.61,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","PDC-35",4393,1194,100,"monobactam","antibiotic inactivation","PDC beta-lactamase",100,15103.77,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","ParR",2820,708,99.15,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,16351,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","ParS",4230,1287,99.77,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13492.44,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","PmpM",4504,1434,99.58,"fluoroquinolone antibiotic","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",100,12893.71,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","Pseudomonas aeruginosa CpxR",3625,678,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,21948.6,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","Pseudomonas aeruginosa catB7",2135,639,98.58,"phenicol antibiotic","antibiotic inactivation","chloramphenicol acetyltransferase (CAT)",100,13715.94,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","Pseudomonas aeruginosa emrE",1425,333,100,"aminoglycoside antibiotic","antibiotic efflux","small multidrug resistance (SMR) antibiotic efflux pump",100,17567.06,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","Pseudomonas aeruginosa soxR",1698,471,100,"fluoroquinolone antibiotic","antibiotic target alteration","ATP-binding cassette (ABC) antibiotic efflux pump",100,14799.44,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","TriA",4432,1104,98.37,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",95.82,16480.08,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","TriB",3573,1071,100,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13695.32,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","TriC",11227,3048,99.9,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,15120.89,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","Type B NfxB",2470,564,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,17978.21,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","YajC",1500,339,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,18164.36,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","arnA",6816,1989,99.55,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,14067.71,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","basR",3476,666,99.55,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,21425.66,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","basS",5535,1434,99.16,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,15845.18,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","bcr-1",4517,1209,99.75,"bicyclomycin-like antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,15337.42,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","cprR",2670,672,100,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,16310.62,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","cprS",4671,1296,99.54,"peptide antibiotic","antibiotic target alteration","pmr phosphoethanolamine transferase",100,14795.63,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","mexM",3654,1158,98.96,"phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12953.54,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","mexN",9830,3111,99.61,"phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12971.26,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","mexP",4074,1158,99.48,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14442.46,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","mexQ",10667,3162,99.53,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,13848.7,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","mexY",9405,3138,93.69,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.9,12303.66,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","nalC",2353,642,98.59,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,15045.81,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","nalD",2511,639,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,16131.49,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","opmE",4481,1476,99.39,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,12462.84,"Pseudomonadaceae","control"
"7600-SR-012","Pseudomonas aeruginosa","rsmA",679,186,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,14985.99,"Pseudomonadaceae","control"
"7600-SR-012","Staphylococcus epidermidis","AAC(6')-Ie-APH(2'')-Ia bifunctional protein",1115,1440,100,"aminoglycoside antibiotic","antibiotic inactivation","APH(2'')",100,3178.64,"Staphylococcaceae","control"
"7600-SR-012","Staphylococcus epidermidis","dfrC",454,486,100,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",100,3834.85,"Staphylococcaceae","control"
"7600-SR-012","Staphylococcus epidermidis","mecA",1770,2007,99.55,"penam","antibiotic target replacement","methicillin resistant PBP2",100,3620.38,"Staphylococcaceae","control"
"7600-SR-012","Staphylococcus epidermidis","mgrA",469,444,94.56,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",100,4336.29,"Staphylococcaceae","control"
"7600-SR-012","Staphylococcus epidermidis","mphC",919,900,98.66,"macrolide antibiotic","antibiotic inactivation","macrolide phosphotransferase (MPH)",100,4191.81,"Staphylococcaceae","control"
"7600-SR-012","Staphylococcus epidermidis","msrA",1495,1467,98.36,"macrolide antibiotic","antibiotic target protection","msr-type ABC-F protein",100,4183.5,"Staphylococcaceae","control"
"7600-SR-012","Staphylococcus epidermidis","norA",1055,1164,100,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,3720.73,"Staphylococcaceae","control"
"7600-SR-012","Staphylococcus epidermidis","qacA",1753,1545,99.81,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,4657.81,"Staphylococcaceae","control"
"7600-SR-012","unclassified","ErmC",91,735,99.59,"macrolide antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",100,508.26,"unclassified","control"
"7600-SR-012","unclassified","PC1 beta-lactamase (blaZ)",1814,846,95.37,"penam","antibiotic inactivation","BlaZ beta-lactamase",100,8802.29,"unclassified","control"
"7600-SR-012","unclassified","Staphylococcus aureus mupA conferring resistance to mupirocin",5733,3075,99.61,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",100,7653.59,"unclassified","control"
"7600-SR-015","Enterobacter ludwigii","ACT-54",6691,1146,99.48,"carbapenem","antibiotic inactivation","ACT beta-lactamase",100,37292.75,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","CRP",3598,633,99.05,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,36305.75,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",2175,435,90.97,"fluoroquinolone antibiotic","antibiotic target alteration","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,31936.55,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin",13778,1185,98.73,"elfamycin antibiotic","antibiotic target alteration","elfamycin resistant EF-Tu",96.33,74265.28,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin",13778,1185,98.73,"elfamycin antibiotic","antibiotic target alteration","elfamycin resistant EF-Tu",96.33,74265.28,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","Escherichia coli UhpT with mutation conferring resistance to fosfomycin",9265,1392,93.95,"phosphonic acid antibiotic","antibiotic target alteration","antibiotic-resistant UhpT",100,42513.24,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","Escherichia coli mdfA",5995,1233,86.24,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,31055.9,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","FosA2",2549,426,99.29,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",100,38218.91,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","Klebsiella pneumoniae KpnF",1757,330,88.99,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,34007.59,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","acrB",18741,3147,92.85,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.9,38037.68,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","acrD",17556,3114,90.94,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,36010.15,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","bacA",4261,822,94.14,"peptide antibiotic","antibiotic target alteration","undecaprenyl pyrophosphate related proteins",100,33109.89,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","baeR",3984,723,95.42,"aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,35196.47,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","emrA",6892,1173,85.9,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,37528.85,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","emrR",3287,531,94.29,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",100,39538.77,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","marA",2090,381,93.55,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",99.21,35038,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","mdtB",15786,3123,90,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,32286.29,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","mdtC",15466,3078,91.41,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,32094.26,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","msbA",8420,1749,94.67,"nitroimidazole antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",100,30749.66,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","oqxA",6230,1176,91.05,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,33837.54,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","oqxB",16029,3153,96.95,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,32471.36,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","ramA",2465,342,97.35,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",91.13,46037.19,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterobacter ludwigii","rsmA",1080,186,85.25,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,37087.61,"Enterobacteriaceae","antibiotic"
"7600-SR-015","Enterococcus faecalis","dfrE",72,495,98.78,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",100,929.06,"Enterococcaceae","antibiotic"
"7600-SR-015","Enterococcus faecalis","efrA",208,1719,99.3,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",99.48,772.87,"Enterococcaceae","antibiotic"
"7600-SR-015","Enterococcus faecalis","emeA",97,1155,97.71,"disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",97.71,536.42,"Enterococcaceae","antibiotic"
"7600-SR-015","Enterococcus faecalis","lsaA",173,1497,98.8,"lincosamide antibiotic","antibiotic target protection","lsa-type ABC-F protein",100,738.15,"Enterococcaceae","antibiotic"
"7600-SR-015","Enterococcus faecalis","tet(M)",252,1920,94.05,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",100,838.33,"Enterococcaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","ArmR",17,162,94.34,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,670.27,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","FosA",47,408,99.26,"phosphonic acid antibiotic","antibiotic inactivation","fosfomycin thiol transferase",100,735.79,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexA",122,1152,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,676.43,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexB",3428,3141,99.62,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,6970.93,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexC",130,1065,98.87,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",91.47,779.67,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexD",636,3132,95.43,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1297.04,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexE",134,1245,99.28,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,687.47,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexF",1592,3189,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3188.65,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexG",238,447,100,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,3400.85,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexH",122,1113,99.73,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,700.14,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexI",991,3090,99.9,"fluoroquinolone antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,2048.49,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexJ",278,1104,99.73,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1608.4,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexK",667,3078,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,1384.12,"Pseudomonadaceae","antibiotic"
"7600-SR-015","Pseudomonas aeruginosa","MexL",248,639,100,"macrolide antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",100,2478.96,"Pseudomonadaceae","antibiotic"
